CMDLINE python3 WovtServer.py
MEM 0.003906 1514908684.4776
MEM 9.722656 1514908684.6029
MEM 13.050781 1514908684.7246
MEM 14.679688 1514908684.8448
MEM 20.738281 1514908684.9516
MEM 28.269531 1514908685.0604
MEM 29.707031 1514908685.1716
MEM 30.218750 1514908685.2854
MEM 31.804688 1514908685.4215
MEM 33.582031 1514908685.5342
MEM 34.898438 1514908685.6597
MEM 36.011719 1514908685.7845
MEM 36.449219 1514908685.9139
MEM 36.886719 1514908686.0338
MEM 37.859375 1514908686.1845
MEM 38.105469 1514908686.3146
MEM 38.187500 1514908686.4476
MEM 38.703125 1514908686.5848
MEM 42.593750 1514908686.7023
MEM 42.593750 1514908686.8255
MEM 42.593750 1514908686.9397
MEM 42.593750 1514908687.0494
MEM 42.593750 1514908687.1608
MEM 42.593750 1514908687.2736
MEM 42.593750 1514908687.3848
MEM 42.593750 1514908687.4956
MEM 42.593750 1514908687.6083
MEM 42.593750 1514908687.7176
MEM 42.593750 1514908687.8264
MEM 42.593750 1514908687.9369
MEM 42.593750 1514908688.0594
MEM 42.593750 1514908688.1742
MEM 42.593750 1514908688.2859
MEM 42.593750 1514908688.4035
MEM 42.593750 1514908688.5175
MEM 42.593750 1514908688.6574
MEM 42.593750 1514908688.7775
MEM 42.593750 1514908688.8859
MEM 42.593750 1514908688.9942
MEM 42.593750 1514908689.1114
MEM 42.593750 1514908689.2379
MEM 42.847656 1514908689.3497
MEM 42.847656 1514908689.4620
MEM 42.847656 1514908689.5734
MEM 42.847656 1514908689.6889
MEM 42.847656 1514908689.8076
MEM 42.847656 1514908689.9174
MEM 42.847656 1514908690.0299
MEM 42.847656 1514908690.1404
MEM 42.847656 1514908690.2544
MEM 42.847656 1514908690.3622
MEM 42.847656 1514908690.4730
MEM 42.847656 1514908690.5911
MEM 42.847656 1514908690.7044
MEM 42.847656 1514908690.8165
MEM 42.847656 1514908690.9294
MEM 42.847656 1514908691.0519
MEM 42.847656 1514908691.1667
MEM 42.847656 1514908691.2741
MEM 42.847656 1514908691.3873
MEM 42.847656 1514908691.4985
MEM 42.847656 1514908691.6326
MEM 42.847656 1514908691.7705
MEM 42.847656 1514908691.9086
MEM 42.847656 1514908692.0401
MEM 42.847656 1514908692.1721
MEM 42.847656 1514908692.2957
MEM 42.847656 1514908692.4263
MEM 42.847656 1514908692.5431
MEM 42.847656 1514908692.6554
MEM 42.847656 1514908692.7662
MEM 42.847656 1514908692.8779
MEM 42.847656 1514908692.9912
MEM 42.847656 1514908693.1123
MEM 42.847656 1514908693.2309
MEM 42.847656 1514908693.3453
MEM 42.847656 1514908693.4560
MEM 42.847656 1514908693.5683
MEM 42.847656 1514908693.6787
MEM 42.847656 1514908693.7859
MEM 42.847656 1514908693.8952
MEM 42.847656 1514908694.0184
MEM 42.847656 1514908694.1341
MEM 42.847656 1514908694.2449
MEM 42.847656 1514908694.3523
MEM 42.847656 1514908694.4626
MEM 42.847656 1514908694.5732
MEM 42.847656 1514908694.6851
MEM 42.847656 1514908694.7988
MEM 42.847656 1514908694.9126
MEM 42.847656 1514908695.0243
MEM 42.847656 1514908695.1360
MEM 42.847656 1514908695.2622
MEM 42.847656 1514908695.3770
MEM 42.847656 1514908695.4872
MEM 42.847656 1514908695.6100
MEM 42.847656 1514908695.7196
MEM 42.847656 1514908695.8319
MEM 42.847656 1514908695.9392
MEM 42.847656 1514908696.0560
MEM 42.847656 1514908696.1836
MEM 42.847656 1514908696.2963
MEM 42.847656 1514908696.4105
MEM 42.847656 1514908696.5307
MEM 42.847656 1514908696.6400
MEM 42.847656 1514908696.7498
MEM 43.042969 1514908696.8596
MEM 43.300781 1514908696.9709
MEM 43.300781 1514908697.0812
MEM 43.300781 1514908697.1935
MEM 43.300781 1514908697.3206
MEM 43.300781 1514908697.4585
MEM 43.300781 1514908697.6125
MEM 43.300781 1514908697.7494
MEM 43.300781 1514908697.8958
MEM 43.300781 1514908698.0207
MEM 43.300781 1514908698.1435
MEM 43.300781 1514908698.3161
MEM 43.300781 1514908698.4614
MEM 43.300781 1514908698.7088
MEM 43.300781 1514908698.8265
MEM 43.300781 1514908698.9621
MEM 43.300781 1514908699.0900
MEM 43.300781 1514908699.2122
MEM 43.300781 1514908699.3211
MEM 43.375000 1514908699.4388
MEM 43.375000 1514908699.5591
MEM 43.375000 1514908699.6959
MEM 43.375000 1514908699.8077
MEM 43.375000 1514908699.9178
MEM 43.375000 1514908700.0313
MEM 43.375000 1514908700.1460
MEM 43.375000 1514908700.2621
MEM 43.375000 1514908700.3730
MEM 43.375000 1514908700.4967
MEM 43.375000 1514908700.6115
MEM 43.375000 1514908700.7281
MEM 43.375000 1514908700.8463
MEM 43.375000 1514908700.9557
MEM 43.375000 1514908701.0717
MEM 43.375000 1514908701.1841
MEM 43.375000 1514908701.2959
MEM 43.375000 1514908701.4101
MEM 43.375000 1514908701.5291
MEM 43.375000 1514908701.6510
MEM 43.375000 1514908701.7622
MEM 43.375000 1514908701.8754
MEM 43.375000 1514908701.9873
MEM 43.375000 1514908702.1084
MEM 43.375000 1514908702.2246
MEM 43.375000 1514908702.3358
MEM 43.375000 1514908702.4511
MEM 43.375000 1514908702.5639
MEM 43.375000 1514908702.6882
MEM 43.628906 1514908702.8132
MEM 43.628906 1514908702.9243
MEM 43.628906 1514908703.0377
MEM 43.628906 1514908703.1494
MEM 43.628906 1514908703.2622
MEM 43.628906 1514908703.3799
MEM 43.628906 1514908703.5030
MEM 43.628906 1514908703.6169
MEM 43.628906 1514908703.7472
MEM 43.628906 1514908703.9211
MEM 43.628906 1514908704.0536
MEM 43.628906 1514908704.2023
MEM 43.628906 1514908704.3375
MEM 43.628906 1514908704.4827
MEM 43.628906 1514908704.6208
MEM 43.628906 1514908704.7483
MEM 43.628906 1514908704.8676
MEM 43.628906 1514908704.9877
MEM 43.628906 1514908705.1070
MEM 43.628906 1514908705.2237
MEM 43.628906 1514908705.3392
MEM 43.628906 1514908705.4715
MEM 43.628906 1514908705.5901
MEM 43.628906 1514908705.7098
MEM 43.628906 1514908705.8330
MEM 43.628906 1514908705.9611
MEM 43.628906 1514908706.0911
MEM 43.628906 1514908706.2028
MEM 43.628906 1514908706.3132
MEM 43.628906 1514908706.4234
MEM 43.628906 1514908706.5407
MEM 43.628906 1514908706.6613
MEM 43.628906 1514908706.7757
MEM 43.628906 1514908706.8933
MEM 43.628906 1514908707.0036
MEM 43.628906 1514908707.1173
MEM 43.628906 1514908707.2307
MEM 43.628906 1514908707.3483
MEM 43.628906 1514908707.4694
MEM 43.628906 1514908707.5797
MEM 43.628906 1514908707.6925
MEM 43.628906 1514908707.8123
MEM 43.628906 1514908707.9249
MEM 43.628906 1514908708.0367
MEM 43.628906 1514908708.1486
MEM 43.628906 1514908708.2677
MEM 43.628906 1514908708.3854
MEM 43.628906 1514908708.5071
